degrade_s2,delta_vs_clean_train_test_f1,delta_vs_clean_train_test_iou,delta_vs_clean_train_test_precision,delta_vs_clean_train_test_recall,n,seeds,test_f1_mean,test_f1_std,test_iou_mean,test_iou_std,test_precision_mean,test_precision_std,test_recall_mean,test_recall_std,train_degrade_s2
none,,,,,3,"13,21,7",0.8092,0.0054,0.6890,0.0066,0.7905,0.0261,0.8348,0.0210,none
none,-0.0418,-0.0552,-0.0498,-0.0246,3,"13,21,7",0.7674,0.0170,0.6338,0.0201,0.7407,0.0465,0.8102,0.0247,modality_dropout
patch_after,,,,,3,"13,21,7",0.7141,0.0164,0.5722,0.0160,0.6539,0.0357,0.8197,0.0290,none
patch_after,-0.0049,-0.0106,0.0229,-0.0450,3,"13,21,7",0.7092,0.0325,0.5616,0.0365,0.6768,0.0624,0.7747,0.0236,modality_dropout
noise_after,,,,,3,"13,21,7",0.4804,0.0894,0.3285,0.0837,0.6491,0.1691,0.4824,0.2539,none
noise_after,0.0888,0.0780,-0.0825,0.1515,3,"13,21,7",0.5692,0.0195,0.4065,0.0175,0.5666,0.0496,0.6339,0.0983,modality_dropout
zero_after,,,,,3,"13,21,7",0.5601,0.0133,0.4052,0.0186,0.4995,0.0208,0.7789,0.0922,none
zero_after,0.0394,0.0331,0.0823,-0.0774,3,"13,21,7",0.5995,0.0322,0.4383,0.0328,0.5818,0.0551,0.7015,0.0414,modality_dropout
zero_all,,,,,3,"13,21,7",0.0725,0.0460,0.0406,0.0266,0.8888,0.0789,0.0410,0.0269,none
zero_all,0.3728,0.2698,-0.1196,0.3305,3,"13,21,7",0.4453,0.0935,0.3104,0.0743,0.7692,0.0974,0.3715,0.1179,modality_dropout
