degrade_s2,delta_vs_clean_train_test_f1,delta_vs_clean_train_test_iou,delta_vs_clean_train_test_precision,delta_vs_clean_train_test_recall,n,seeds,test_f1_mean,test_f1_std,test_iou_mean,test_iou_std,test_precision_mean,test_precision_std,test_recall_mean,test_recall_std,train_degrade_s2
none,,,,,1,7,0.7631,,0.6307,,0.6894,,0.8733,,none
none,-0.0056,-0.0078,0.0028,-0.0224,1,7,0.7575,,0.6229,,0.6922,,0.8509,,modality_dropout_light
none,-0.0202,-0.0262,0.0036,-0.0551,1,7,0.7429,,0.6045,,0.6930,,0.8182,,modality_dropout_balanced
none,-0.0362,-0.0421,-0.0595,0.0227,1,7,0.7269,,0.5886,,0.6299,,0.8960,,modality_dropout_patch
patch_after,,,,,1,7,0.6472,,0.5014,,0.5293,,0.8965,,none
patch_after,0.0184,0.0165,0.0297,-0.0303,1,7,0.6656,,0.5179,,0.5590,,0.8662,,modality_dropout_light
patch_after,0.0173,0.0113,0.0609,-0.0851,1,7,0.6645,,0.5127,,0.5902,,0.8114,,modality_dropout_balanced
patch_after,-0.0023,-0.0042,-0.0073,0.0167,1,7,0.6449,,0.4972,,0.5220,,0.9132,,modality_dropout_patch
noise_after,,,,,1,7,0.4671,,0.3087,,0.5902,,0.4108,,none
noise_after,-0.0318,-0.0220,0.1591,-0.0843,1,7,0.4353,,0.2867,,0.7493,,0.3265,,modality_dropout_light
noise_after,-0.0333,-0.0239,0.1586,-0.0888,1,7,0.4338,,0.2848,,0.7488,,0.3220,,modality_dropout_balanced
noise_after,-0.0275,-0.0187,0.0971,-0.0656,1,7,0.4396,,0.2900,,0.6873,,0.3452,,modality_dropout_patch
zero_after,,,,,1,7,0.5435,,0.3975,,0.4129,,0.9505,,none
zero_after,0.0268,0.0219,0.0309,-0.0464,1,7,0.5703,,0.4194,,0.4438,,0.9041,,modality_dropout_light
zero_after,0.0267,0.0151,0.0786,-0.1453,1,7,0.5702,,0.4126,,0.4915,,0.8052,,modality_dropout_balanced
zero_after,0.0184,0.0157,0.0167,-0.0068,1,7,0.5619,,0.4132,,0.4296,,0.9437,,modality_dropout_patch
zero_all,,,,,1,7,0.3371,,0.2245,,0.8369,,0.2376,,none
zero_all,0.1708,0.1260,-0.4187,0.5282,1,7,0.5079,,0.3505,,0.4182,,0.7658,,modality_dropout_light
zero_all,0.2107,0.1666,-0.3042,0.4433,1,7,0.5478,,0.3911,,0.5327,,0.6809,,modality_dropout_balanced
zero_all,0.2035,0.1631,-0.2330,0.3249,1,7,0.5406,,0.3876,,0.6039,,0.5625,,modality_dropout_patch
